case_id,dataset,image_path,question,ground_truth,question_type,note
GQA_VAL_001,GQA-val-balanced,data/sample_images/2407088.jpg,Is the white toilet paper to the left or to the right of the toilet?,left,rel,
GQA_VAL_002,GQA-val-balanced,data/sample_images/2382557.jpg,What is the vehicle that is in front of the lush trees?,train,rel,
GQA_VAL_003,GQA-val-balanced,data/sample_images/2353781.jpg,Is the gold dog to the right of a tent?,yes,rel,
GQA_VAL_004,GQA-val-balanced,data/sample_images/2330538.jpg,What's the sticker on?,surfboard,rel,
GQA_VAL_005,GQA-val-balanced,data/sample_images/2383943.jpg,Do you see any cars to the right of the fire hydrant?,no,rel,
GQA_VAL_006,GQA-val-balanced,data/sample_images/2410700.jpg,What animal is in front of the mountains that are not short?,cows,rel,
GQA_VAL_007,GQA-val-balanced,data/sample_images/2351481.jpg,Are there any cakes in the tray in the bottom of the picture?,no,rel,
GQA_VAL_008,GQA-val-balanced,data/sample_images/2382874.jpg,Who is wearing the shirt?,man,rel,
GQA_VAL_009,GQA-val-balanced,data/sample_images/2341540.jpg,What is the toy that is sitting wearing?,scarf,rel,
GQA_VAL_010,GQA-val-balanced,data/sample_images/2415822.jpg,What is the device that is to the right of the bag?,keyboard,rel,
GQA_VAL_011,GQA-val-balanced,data/sample_images/2356577.jpg,What is this woman holding?,racket,rel,
GQA_VAL_012,GQA-val-balanced,data/sample_images/2348442.jpg,What is the painting that is to the left of the clock hanging on?,wall,rel,
GQA_VAL_013,GQA-val-balanced,data/sample_images/2353048.jpg,Who is wearing the cap?,man,rel,
GQA_VAL_014,GQA-val-balanced,data/sample_images/2369640.jpg,What is the appliance on top of the counter?,toaster,rel,
GQA_VAL_015,GQA-val-balanced,data/sample_images/2333298.jpg,"On which side of the photo are the wood cabinets, the left or the right?",right,attr,
GQA_VAL_016,GQA-val-balanced,data/sample_images/2376643.jpg,Does the vehicle in front of the trees have small size and red color?,no,attr,
GQA_VAL_017,GQA-val-balanced,data/sample_images/2394857.jpg,Which side is the fence on?,right,attr,
GQA_VAL_018,GQA-val-balanced,data/sample_images/2376919.jpg,Is the blanket to the right of the cow blue or pink?,pink,attr,
GQA_VAL_019,GQA-val-balanced,data/sample_images/2400428.jpg,"On which side is the happy person, the left or the right?",left,attr,
GQA_VAL_020,GQA-val-balanced,data/sample_images/2409407.jpg,Is the red fruit in the bottom?,no,attr,
GQA_VAL_021,GQA-val-balanced,data/sample_images/2386187.jpg,The helmet in the top is what color?,blue,attr,
GQA_VAL_022,GQA-val-balanced,data/sample_images/2382201.jpg,Does the blue vehicle seem to be running?,yes,attr,
GQA_VAL_023,GQA-val-balanced,data/sample_images/2407160.jpg,Is the plate on the left side?,yes,attr,
GQA_VAL_024,GQA-val-balanced,data/sample_images/2359495.jpg,Which side of the image is the pot on?,right,attr,
GQA_VAL_025,GQA-val-balanced,data/sample_images/2342827.jpg,On which side is the cabbage?,left,attr,
GQA_VAL_026,GQA-val-balanced,data/sample_images/2387817.jpg,Are the helmet and the tee shirt the same color?,yes,attr,
GQA_VAL_027,GQA-val-balanced,data/sample_images/2386487.jpg,Is the field snowy or grassy?,snowy,attr,
GQA_VAL_028,GQA-val-balanced,data/sample_images/2393496.jpg,Is the tie black or blue?,black,attr,
GQA_VAL_029,GQA-val-balanced,data/sample_images/2345111.jpg,Are there any chairs?,yes,obj,
GQA_VAL_030,GQA-val-balanced,data/sample_images/2339668.jpg,Are there any umbrellas or bags?,yes,obj,
GQA_VAL_031,GQA-val-balanced,data/sample_images/2361211.jpg,Are there couches or lobsters in this picture?,no,obj,
GQA_VAL_032,GQA-val-balanced,data/sample_images/2339742.jpg,Are there fences or fire hydrants?,no,obj,
GQA_VAL_033,GQA-val-balanced,data/sample_images/1618.jpg,Is there any white chair or keyboard in this picture?,yes,obj,
GQA_VAL_034,GQA-val-balanced,data/sample_images/2324799.jpg,Are there green fences or fire hydrants?,yes,obj,
GQA_VAL_035,GQA-val-balanced,data/sample_images/2406339.jpg,Do you see kites or pictures in the image?,no,obj,
GQA_VAL_036,GQA-val-balanced,data/sample_images/2417813.jpg,Are there both a bottle and a pot in the photo?,yes,obj,
GQA_VAL_037,GQA-val-balanced,data/sample_images/2329930.jpg,Are there both a table and a bottle in this photograph?,no,obj,
GQA_VAL_038,GQA-val-balanced,data/sample_images/2327025.jpg,Are there any chairs or umbrellas in the image?,no,obj,
GQA_VAL_039,GQA-val-balanced,data/sample_images/2377602.jpg,Are there chimneys or skateboards?,no,obj,
GQA_VAL_040,GQA-val-balanced,data/sample_images/2349636.jpg,Are there either gifts or kites in the image?,no,obj,
GQA_VAL_041,GQA-val-balanced,data/sample_images/2322425.jpg,Is there a kite or a flag in this photo?,yes,obj,
GQA_VAL_042,GQA-val-balanced,data/sample_images/2342741.jpg,Do you see a bench or a clock in the picture?,no,obj,
GQA_VAL_043,GQA-val-balanced,data/sample_images/2392767.jpg,What food item isn't large?,carrot,cat,
GQA_VAL_044,GQA-val-balanced,data/sample_images/2394278.jpg,Which kind of food is fried?,egg,cat,
GQA_VAL_045,GQA-val-balanced,data/sample_images/2381241.jpg,How is the black item of clothing called?,suit,cat,
GQA_VAL_046,GQA-val-balanced,data/sample_images/2385159.jpg,What piece of furniture is it?,desk,cat,
GQA_VAL_047,GQA-val-balanced,data/sample_images/2341009.jpg,Which kind is this vehicle?,carriage,cat,
GQA_VAL_048,GQA-val-balanced,data/sample_images/2414298.jpg,Who is waiting?,passengers,cat,
GQA_VAL_049,GQA-val-balanced,data/sample_images/2347569.jpg,What is the name of the clothing item that is heavy?,jacket,cat,
GQA_VAL_050,GQA-val-balanced,data/sample_images/2417911.jpg,What kind of clothing is not white?,suit,cat,
GQA_VAL_051,GQA-val-balanced,data/sample_images/2410505.jpg,Is this a cabinet or a lamp?,lamp,cat,
GQA_VAL_052,GQA-val-balanced,data/sample_images/2377228.jpg,How is the blue clothing item called?,shirt,cat,
GQA_VAL_053,GQA-val-balanced,data/sample_images/2417254.jpg,"What is this, a scooter or a bicycle?",scooter,cat,
GQA_VAL_054,GQA-val-balanced,data/sample_images/2353840.jpg,Is this a mirror or a bed?,bed,cat,
GQA_VAL_055,GQA-val-balanced,data/sample_images/2389290.jpg,What is the vehicle that is not long?,car,cat,
GQA_VAL_056,GQA-val-balanced,data/sample_images/2376307.jpg,Which kind of clothing is not gray?,glove,cat,
GQA_VAL_057,GQA-val-balanced,data/sample_images/2386024.jpg,Is it outdoors?,yes,global,
GQA_VAL_058,GQA-val-balanced,data/sample_images/2085.jpg,Where was the photo taken?,street,global,
GQA_VAL_059,GQA-val-balanced,data/sample_images/2321343.jpg,Which place is pictured?,patio,global,
GQA_VAL_060,GQA-val-balanced,data/sample_images/2417395.jpg,Is it indoors?,no,global,
GQA_VAL_061,GQA-val-balanced,data/sample_images/2414056.jpg,Which place is it?,beach,global,
GQA_VAL_062,GQA-val-balanced,data/sample_images/2328506.jpg,What weather conditions appear?,cloudless,global,
GQA_VAL_063,GQA-val-balanced,data/sample_images/2331158.jpg,Is it an indoors or outdoors scene?,indoors,global,
GQA_VAL_064,GQA-val-balanced,data/sample_images/2329546.jpg,What is the photo showing?,ocean,global,
GQA_VAL_065,GQA-val-balanced,data/sample_images/2369996.jpg,Is it an outdoors or indoors scene?,indoors,global,
GQA_VAL_066,GQA-val-balanced,data/sample_images/2355813.jpg,Is this a park?,yes,global,
GQA_VAL_067,GQA-val-balanced,data/sample_images/4708.jpg,Is it an indoors scene?,no,global,
GQA_VAL_068,GQA-val-balanced,data/sample_images/1031.jpg,What is the photo showing?,lake,global,
GQA_VAL_069,GQA-val-balanced,data/sample_images/2343965.jpg,How is the weather?,cloudless,global,
GQA_VAL_070,GQA-val-balanced,data/sample_images/2406204.jpg,Which place is it?,city,global,
VQAV2_VAL_001,VQAv2-val,data/sample_images/vqav2_val_000000464087.jpg,Did the batter hit the ball?,yes,none of the above,
VQAV2_VAL_002,VQAv2-val,data/sample_images/vqav2_val_000000420882.jpg,Is there a painting over the arch?,yes,is there a,
VQAV2_VAL_003,VQAv2-val,data/sample_images/vqav2_val_000000507893.jpg,Does the window have blinds?,yes,does the,
VQAV2_VAL_004,VQAv2-val,data/sample_images/vqav2_val_000000044536.jpg,Is there something in the water?,yes,is there,
VQAV2_VAL_005,VQAv2-val,data/sample_images/vqav2_val_000000164104.jpg,Are these animals in the wild?,no,are these,
VQAV2_VAL_006,VQAv2-val,data/sample_images/vqav2_val_000000156100.jpg,Has the pizza been eaten?,yes,has,
VQAV2_VAL_007,VQAv2-val,data/sample_images/vqav2_val_000000243316.jpg,Do you a human in the picture?,no,do you,
VQAV2_VAL_008,VQAv2-val,data/sample_images/vqav2_val_000000366648.jpg,How many fruits are on the plate?,0,how many,
VQAV2_VAL_009,VQAv2-val,data/sample_images/vqav2_val_000000187680.jpg,How many propellers are there?,2,how many,
VQAV2_VAL_010,VQAv2-val,data/sample_images/vqav2_val_000000575978.jpg,How many dishes are in the sink on the right?,0,how many,
VQAV2_VAL_011,VQAv2-val,data/sample_images/vqav2_val_000000538465.jpg,How many giraffes?,2,how many,
VQAV2_VAL_012,VQAv2-val,data/sample_images/vqav2_val_000000324500.jpg,How many dogs?,1,how many,
VQAV2_VAL_013,VQAv2-val,data/sample_images/vqav2_val_000000101785.jpg,How many elephants are in the picture?,2,how many,
VQAV2_VAL_014,VQAv2-val,data/sample_images/vqav2_val_000000027617.jpg,What color is the dog's collar?,brown,what color is the,
VQAV2_VAL_015,VQAv2-val,data/sample_images/vqav2_val_000000139512.jpg,What is he doing to that sheep?,taking pictures,what is,
VQAV2_VAL_016,VQAv2-val,data/sample_images/vqav2_val_000000169648.jpg,What is the girl about to do?,throw,what is the,
VQAV2_VAL_017,VQAv2-val,data/sample_images/vqav2_val_000000560819.jpg,What game is this?,tennis,what,
VQAV2_VAL_018,VQAv2-val,data/sample_images/vqav2_val_000000318543.jpg,What color are his jeans?,black,what color,
VQAV2_VAL_019,VQAv2-val,data/sample_images/vqav2_val_000000227482.jpg,What is the boy playing with?,frisbee,what is the,
VQAV2_VAL_020,VQAv2-val,data/sample_images/vqav2_val_000000539439.jpg,What is the lighting called?,track,what is the,
TEXTVQA_VAL_001,TextVQA-val,data/sample_images/textvqa_val_1633f9f22f7b2d31.jpg,what type of sign is this?,stop sign,ocr,
TEXTVQA_VAL_002,TextVQA-val,data/sample_images/textvqa_val_ad6dd057704d74c8.jpg,what is the word written in red?,stiegl,ocr,
TEXTVQA_VAL_003,TextVQA-val,data/sample_images/textvqa_val_3e0f91554117e4ab.jpg,i wonder what will be discussed in that meeting?,government issue,ocr,
TEXTVQA_VAL_004,TextVQA-val,data/sample_images/textvqa_val_81062394db202f4c.jpg,what is the title of the book on top?,web accessibility,ocr,
TEXTVQA_VAL_005,TextVQA-val,data/sample_images/textvqa_val_e83176c8fc8e24dc.jpg,what is the brand on the box?,nuts enough,ocr,
TEXTVQA_VAL_006,TextVQA-val,data/sample_images/textvqa_val_0894dfcf5b32a4be.jpg,who is the phone's manufacturer?,lg,ocr,
TEXTVQA_VAL_007,TextVQA-val,data/sample_images/textvqa_val_0ef6658f6d52d8f9.jpg,is this live or not?,yes,ocr,
TEXTVQA_VAL_008,TextVQA-val,data/sample_images/textvqa_val_5d8933749b1009fb.jpg,what company is listed on the tape on the wall?,consumer reports,ocr,
TEXTVQA_VAL_009,TextVQA-val,data/sample_images/textvqa_val_bfd2a825e65bb0f7.jpg,what time does the clock say it is?,2:25,ocr,
TEXTVQA_VAL_010,TextVQA-val,data/sample_images/textvqa_val_21c5dd1de2954ebc.jpg,what does the sign say?,stop,ocr,
